name,region,alias
上海市,上海市,
北京市,北京市,
重庆市,重庆市,
天津市,天津市,
石家庄市,河北省,
唐山市,河北省,
秦皇岛市,河北省,
邯郸市,河北省,
邢台市,河北省,
保定市,河北省,
张家口市,河北省,
承德市,河北省,
沧州市,河北省,
廊坊市,河北省,
衡水市,河北省,
辛集市,河北省,
晋州市,河北省,
新乐市,河北省,
遵化市,河北省,
迁安市,河北省,
武安市,河北省,
南宫市,河北省,
沙河市,河北省,
涿州市,河北省,
定州市,河北省,
安国市,河北省,
高碑店市,河北省,
平泉市,河北省,
泊头市,河北省,
任丘市,河北省,
黄骅市,河北省,
河间市,河北省,
霸州市,河北省,
三河市,河北省,
深州市,河北省,
太原市,山西省,
大同市,山西省,
阳泉市,山西省,
长治市,山西省,
晋城市,山西省,
朔州市,山西省,
晋中市,山西省,
运城市,山西省,
忻州市,山西省,
临汾市,山西省,
吕梁市,山西省,
古交市,山西省,
潞城市,山西省,
高平市,山西省,
介休市,山西省,
永济市,山西省,
河津市,山西省,
原平市,山西省,
侯马市,山西省,
霍州市,山西省,
孝义市,山西省,
汾阳市,山西省,
呼和浩特市,内蒙古自治区,
包头市,内蒙古自治区,
乌海市,内蒙古自治区,
赤峰市,内蒙古自治区,
通辽市,内蒙古自治区,
鄂尔多斯市,内蒙古自治区,
呼伦贝尔市,内蒙古自治区,
巴彦淖尔市,内蒙古自治区,
乌兰察布市,内蒙古自治区,
霍林郭勒市,内蒙古自治区,
满洲里市,内蒙古自治区,
牙克石市,内蒙古自治区,
扎兰屯市,内蒙古自治区,
额尔古纳市,内蒙古自治区,
根河市,内蒙古自治区,
丰镇市,内蒙古自治区,
乌兰浩特市,内蒙古自治区,
阿尔山市,内蒙古自治区,
二连浩特市,内蒙古自治区,
锡林浩特市,内蒙古自治区,
沈阳市,辽宁省,
大连市,辽宁省,
鞍山市,辽宁省,
抚顺市,辽宁省,
本溪市,辽宁省,
丹东市,辽宁省,
锦州市,辽宁省,
营口市,辽宁省,
阜新市,辽宁省,
辽阳市,辽宁省,
盘锦市,辽宁省,
铁岭市,辽宁省,
朝阳市,辽宁省,
葫芦岛市,辽宁省,
新民市,辽宁省,
瓦房店市,辽宁省,
庄河市,辽宁省,
海城市,辽宁省,
东港市,辽宁省,
凤城市,辽宁省,
凌海市,辽宁省,
北镇市,辽宁省,
盖州市,辽宁省,
大石桥市,辽宁省,
灯塔市,辽宁省,
调兵山市,辽宁省,
开原市,辽宁省,
北票市,辽宁省,
凌源市,辽宁省,
兴城市,辽宁省,
长春市,吉林省,
吉林市,吉林省,
四平市,吉林省,
辽源市,吉林省,
通化市,吉林省,
白山市,吉林省,
松原市,吉林省,
白城市,吉林省,
榆树市,吉林省,
德惠市,吉林省,
蛟河市,吉林省,
桦甸市,吉林省,
舒兰市,吉林省,
磐石市,吉林省,
公主岭市,吉林省,
双辽市,吉林省,
梅河口市,吉林省,
集安市,吉林省,
洮南市,吉林省,
大安市,吉林省,
临江市,吉林省,
延吉市,吉林省,
图们市,吉林省,
敦化市,吉林省,
珲春市,吉林省,
龙井市,吉林省,
和龙市,吉林省,
扶余市,吉林省,
延边朝鲜族自治州,吉林省,
哈尔滨市,黑龙江省,
齐齐哈尔市,黑龙江省,
黑河市,黑龙江省,
大庆市,黑龙江省,
伊春市,黑龙江省,
鹤岗市,黑龙江省,
佳木斯市,黑龙江省,
双鸭山市,黑龙江省,
七台河市,黑龙江省,
鸡西市,黑龙江省,
牡丹江市,黑龙江省,
绥化市,黑龙江省,
尚志市,黑龙江省,
五常市,黑龙江省,
讷河市,黑龙江省,
北安市,黑龙江省,
五大连池市,黑龙江省,
铁力市,黑龙江省,
同江市,黑龙江省,
富锦市,黑龙江省,
虎林市,黑龙江省,
密山市,黑龙江省,
绥芬河市,黑龙江省,
海林市,黑龙江省,
宁安市,黑龙江省,
安达市,黑龙江省,
肇东市,黑龙江省,
海伦市,黑龙江省,
穆棱市,黑龙江省,
东宁市,黑龙江省,
抚远市,黑龙江省,
南京市,江苏省,
徐州市,江苏省,
连云港市,江苏省,
宿迁市,江苏省,
淮安市,江苏省,
盐城市,江苏省,
扬州市,江苏省,
泰州市,江苏省,
南通市,江苏省,
镇江市,江苏省,
常州市,江苏省,
无锡市,江苏省,
苏州市,江苏省,
常熟市,江苏省,
张家港市,江苏省,
太仓市,江苏省,
昆山市,江苏省,
江阴市,江苏省,
宜兴市,江苏省,
溧阳市,江苏省,
扬中市,江苏省,
句容市,江苏省,
丹阳市,江苏省,
如皋市,江苏省,
海门市,江苏省,
启东市,江苏省,
高邮市,江苏省,
仪征市,江苏省,
兴化市,江苏省,
泰兴市,江苏省,
靖江市,江苏省,
东台市,江苏省,
邳州市,江苏省,
新沂市,江苏省,
杭州市,浙江省,
宁波市,浙江省,
湖州市,浙江省,
嘉兴市,浙江省,
舟山市,浙江省,
绍兴市,浙江省,
衢州市,浙江省,
金华市,浙江省,
台州市,浙江省,
温州市,浙江省,
丽水市,浙江省,
建德市,浙江省,
慈溪市,浙江省,
余姚市,浙江省,
平湖市,浙江省,
海宁市,浙江省,
桐乡市,浙江省,
诸暨市,浙江省,
嵊州市,浙江省,
江山市,浙江省,
兰溪市,浙江省,
永康市,浙江省,
义乌市,浙江省,
东阳市,浙江省,
临海市,浙江省,
温岭市,浙江省,
瑞安市,浙江省,
乐清市,浙江省,
龙泉市,浙江省,
玉环市,浙江省,
合肥市,安徽省,
淮安市,安徽省,
芜湖市,安徽省,
蚌埠市,安徽省,
淮南市,安徽省,
马鞍山市,安徽省,
淮北市,安徽省,
铜陵市,安徽省,
安庆市,安徽省,
黄山市,安徽省,
滁州市,安徽省,
阜阳市,安徽省,
宿州市,安徽省,
六安市,安徽省,
亳州市,安徽省,
池州市,安徽省,
宣城市,安徽省,
巢湖市,安徽省,
桐城市,安徽省,
天长市,安徽省,
明光市,安徽省,
界首市,安徽省,
宁国市,安徽省,
厦门市,福建省,
福州市,福建省,
南平市,福建省,
三明市,福建省,
莆田市,福建省,
泉州市,福建省,
漳州市,福建省,
龙岩市,福建省,
宁德市,福建省,
福清市,福建省,
邵武市,福建省,
武夷山市,福建省,
建瓯市,福建省,
永安市,福建省,
石狮市,福建省,
晋江市,福建省,
南安市,福建省,
龙海市,福建省,
漳平市,福建省,
福安市,福建省,
福鼎市,福建省,
南昌市,江西省,
九江市,江西省,
景德镇市,江西省,
鹰潭市,江西省,
新余市,江西省,
萍乡市,江西省,
赣州市,江西省,
上饶市,江西省,
抚州市,江西省,
宜春市,江西省,
吉安市,江西省,
瑞昌市,江西省,
共青城市,江西省,
庐山市,江西省,
乐平市,江西省,
瑞金市,江西省,
德兴市,江西省,
丰城市,江西省,
樟树市,江西省,
高安市,江西省,
井冈山市,江西省,
贵溪市,江西省,
济南市,山东省,
青岛市,山东省,
聊城市,山东省,
德州市,山东省,
东营市,山东省,
淄博市,山东省,
潍坊市,山东省,
烟台市,山东省,
威海市,山东省,
日照市,山东省,
临沂市,山东省,
枣庄市,山东省,
济宁市,山东省,
泰安市,山东省,
莱芜市,山东省,
滨州市,山东省,
菏泽市,山东省,
胶州市,山东省,
平度市,山东省,
莱西市,山东省,
临清市,山东省,
乐陵市,山东省,
禹城市,山东省,
安丘市,山东省,
昌邑市,山东省,
高密市,山东省,
青州市,山东省,
诸城市,山东省,
寿光市,山东省,
栖霞市,山东省,
海阳市,山东省,
龙口市,山东省,
莱阳市,山东省,
莱州市,山东省,
蓬莱市,山东省,
招远市,山东省,
荣成市,山东省,
乳山市,山东省,
滕州市,山东省,
曲阜市,山东省,
邹城市,山东省,
新泰市,山东省,
肥城市,山东省,
郑州市,河南省,
开封市,河南省,
洛阳市,河南省,
平顶山市,河南省,
安阳市,河南省,
鹤壁市,河南省,
新乡市,河南省,
焦作市,河南省,
濮阳市,河南省,
许昌市,河南省,
漯河市,河南省,
三门峡市,河南省,
南阳市,河南省,
商丘市,河南省,
周口市,河南省,
驻马店市,河南省,
信阳市,河南省,
荥阳市,河南省,
新郑市,河南省,
登封市,河南省,
新密市,河南省,
偃师市,河南省,
孟州市,河南省,
沁阳市,河南省,
卫辉市,河南省,
辉县市,河南省,
林州市,河南省,
禹州市,河南省,
长葛市,河南省,
舞钢市,河南省,
义马市,河南省,
灵宝市,河南省,
项城市,河南省,
巩义市,河南省,
邓州市,河南省,
永城市,河南省,
汝州市,河南省,
济源市,河南省,
武汉市,湖北省,
十堰市,湖北省,
襄阳市,湖北省,
荆门市,湖北省,
孝感市,湖北省,
黄冈市,湖北省,
鄂州市,湖北省,
黄石市,湖北省,
咸宁市,湖北省,
荆州市,湖北省,
宜昌市,湖北省,
随州市,湖北省,
丹江口市,湖北省,
老河口市,湖北省,
枣阳市,湖北省,
宜城市,湖北省,
钟祥市,湖北省,
汉川市,湖北省,
应城市,湖北省,
安陆市,湖北省,
广水市,湖北省,
麻城市,湖北省,
武穴市,湖北省,
大冶市,湖北省,
赤壁市,湖北省,
石首市,湖北省,
洪湖市,湖北省,
松滋市,湖北省,
宜都市,湖北省,
枝江市,湖北省,
当阳市,湖北省,
恩施市,湖北省,
利川市,湖北省,
仙桃市,湖北省,
天门市,湖北省,
潜江市,湖北省,
长沙市,湖南省,
衡阳市,湖南省,
张家界市,湖南省,
常德市,湖南省,
益阳市,湖南省,
岳阳市,湖南省,
株洲市,湖南省,
湘潭市,湖南省,
郴州市,湖南省,
永州市,湖南省,
邵阳市,湖南省,
怀化市,湖南省,
娄底市,湖南省,
耒阳市,湖南省,
常宁市,湖南省,
浏阳市,湖南省,
津市市,湖南省,
沅江市,湖南省,
汨罗市,湖南省,
临湘市,湖南省,
醴陵市,湖南省,
湘乡市,湖南省,
韶山市,湖南省,
资兴市,湖南省,
武冈市,湖南省,
洪江市,湖南省,
冷水江市,湖南省,
涟源市,湖南省,
吉首市,湖南省,
宁乡市,湖南省,
广州市,广东省,
深圳市,广东省,
清远市,广东省,
韶关市,广东省,
河源市,广东省,
梅州市,广东省,
潮州市,广东省,
汕头市,广东省,
揭阳市,广东省,
汕尾市,广东省,
惠州市,广东省,
东莞市,广东省,
珠海市,广东省,
中山市,广东省,
江门市,广东省,
佛山市,广东省,
肇庆市,广东省,
云浮市,广东省,
阳江市,广东省,
茂名市,广东省,
湛江市,广东省,
英德市,广东省,
连州市,广东省,
乐昌市,广东省,
南雄市,广东省,
兴宁市,广东省,
普宁市,广东省,
陆丰市,广东省,
恩平市,广东省,
台山市,广东省,
开平市,广东省,
鹤山市,广东省,
四会市,广东省,
罗定市,广东省,
阳春市,广东省,
化州市,广东省,
信宜市,广东省,
高州市,广东省,
吴川市,广东省,
廉江市,广东省,
雷州市,广东省,
南宁市,广西壮族自治区,
桂林市,广西壮族自治区,
柳州市,广西壮族自治区,
梧州市,广西壮族自治区,
贵港市,广西壮族自治区,
玉林市,广西壮族自治区,
钦州市,广西壮族自治区,
北海市,广西壮族自治区,
防城港市,广西壮族自治区,
崇左市,广西壮族自治区,
百色市,广西壮族自治区,
河池市,广西壮族自治区,
来宾市,广西壮族自治区,
贺州市,广西壮族自治区,
岑溪市,广西壮族自治区,
桂平市,广西壮族自治区,
北流市,广西壮族自治区,
东兴市,广西壮族自治区,
凭祥市,广西壮族自治区,
合山市,广西壮族自治区,
靖西市,广西壮族自治区,
海口市,海南省,
三亚市,海南省,
三沙市,海南省,
儋州市,海南省,
文昌市,海南省,
琼海市,海南省,
万宁市,海南省,
东方市,海南省,
五指山市,海南省,
成都市,四川省,
广元市,四川省,
绵阳市,四川省,
德阳市,四川省,
南充市,四川省,
广安市,四川省,
遂宁市,四川省,
内江市,四川省,
乐山市,四川省,
自贡市,四川省,
泸州市,四川省,
宜宾市,四川省,
攀枝花市,四川省,
巴中市,四川省,
达州市,四川省,
资阳市,四川省,
眉山市,四川省,
雅安市,四川省,
崇州市,四川省,
邛崃市,四川省,
都江堰市,四川省,
彭州市,四川省,
江油市,四川省,
什邡市,四川省,
广汉市,四川省,
绵竹市,四川省,
阆中市,四川省,
华蓥市,四川省,
峨眉山市,四川省,
万源市,四川省,
简阳市,四川省,
西昌市,四川省,
康定市,四川省,
马尔康市,四川省,
隆昌市,四川省,
贵阳市,贵州省,
六盘水市,贵州省,
遵义市,贵州省,
安顺市,贵州省,
毕节市,贵州省,
铜仁市,贵州省,
清镇市,贵州省,
赤水市,贵州省,
仁怀市,贵州省,
凯里市,贵州省,
都匀市,贵州省,
兴义市,贵州省,
福泉市,贵州省,
盘州市,贵州省,
昆明市,云南省,
曲靖市,云南省,
玉溪市,云南省,
丽江市,云南省,
昭通市,云南省,
普洱市,云南省,
临沧市,云南省,
保山市,云南省,
安宁市,云南省,
宣威市,云南省,
芒市,云南省,
瑞丽市,云南省,
大理市,云南省,
楚雄市,云南省,
个旧市,云南省,
开远市,云南省,
蒙自市,云南省,
弥勒市,云南省,
景洪市,云南省,
文山市,云南省,
香格里拉市,云南省,
腾冲市,云南省,
西安市,陕西省,
延安市,陕西省,
铜川市,陕西省,
渭南市,陕西省,
咸阳市,陕西省,
宝鸡市,陕西省,
汉中市,陕西省,
榆林市,陕西省,
商洛市,陕西省,
安康市,陕西省,
韩城市,陕西省,
华阴市,陕西省,
兴平市,陕西省,
神木市,陕西省,
兰州市,甘肃省,
嘉峪关市,甘肃省,
金昌市,甘肃省,
白银市,甘肃省,
天水市,甘肃省,
酒泉市,甘肃省,
张掖市,甘肃省,
武威市,甘肃省,
庆阳市,甘肃省,
平凉市,甘肃省,
定西市,甘肃省,
陇南市,甘肃省,
玉门市,甘肃省,
敦煌市,甘肃省,
临夏市,甘肃省,
合作市,甘肃省,
西宁市,青海省,
海东市,青海省,
格尔木市,青海省,
德令哈市,青海省,
玉树市,青海省,
拉萨市,西藏自治区,
日喀则市,西藏自治区,
昌都市,西藏自治区,
林芝市,西藏自治区,
山南市,西藏自治区,
那曲市,西藏自治区,
银川市,宁夏回族自治区,
石嘴山市,宁夏回族自治区,
吴忠市,宁夏回族自治区,
中卫市,宁夏回族自治区,
固原市,宁夏回族自治区,
灵武市,宁夏回族自治区,
青铜峡市,宁夏回族自治区,
乌鲁木齐市,新疆维吾尔自治区,
克拉玛依市,新疆维吾尔自治区,
吐鲁番市,新疆维吾尔自治区,
哈密市,新疆维吾尔自治区,
喀什市,新疆维吾尔自治区,
阿克苏市,新疆维吾尔自治区,
和田市,新疆维吾尔自治区,
阿图什市,新疆维吾尔自治区,
阿拉山口市,新疆维吾尔自治区,
博乐市,新疆维吾尔自治区,
昌吉市,新疆维吾尔自治区,
阜康市,新疆维吾尔自治区,
库尔勒市,新疆维吾尔自治区,
伊宁市,新疆维吾尔自治区,
奎屯市,新疆维吾尔自治区,
