400020: 江北
053000: 桃城
054700: 戚县
061300: 益山
067100: 寿王坟
071400: 蟊县
075200: 庞家堡
062552: 华北油田地
122300: 喀左
165000: 大兴安岭地
211900: 胥浦
235200: 肖县
239400: 嘉山
253500: 陵县
332800: 星子
333100: 波阳
343500: 宁冈
412500: 酃县
416600: 大庸
418400: 靖县
418100: 黔阳
423000: 郴县
425000: 零陵地
430080: 青山
442400: 神农架林
454700: 孟县
452300: 密县
456500: 林县
467500: 临汝
476900: 雎县
474100: 邓县
472100: 陕县
513200: 连山
514400: 五华
514500: 兴宁
517200: 和平
529300: 开平
524200: 海康
527400: 新兴
533500: 西林
542600: 钟山
546300: 宜山
550014: 白云
561600: 盘县特
554200: 万山特
561400: 睛隆
571200: 定安
571600: 屯昌
571800: 临高
571900: 澄迈
572300: 保亭
572400: 陵水
572500: 乐东
572800: 白沙
572900: 琼中
578101: 洋浦
578201: 洋浦干冲
636450: 白沙工农
611230: 崇庆
611930: 彭县
622650: 安县
623400: 南坪
635000: 达县
615100: 会里
666500: 镇源
673100: 六库
674400: 中甸
675900: 风庆
678500: 畹町
710000: 西安
714100: 华县
717600: 吴旗
713500: 彬县
727100: 耀县
756400: 泾原
813400: 花石峡
810100: 大通
817000: 海西州
810300: 海北州
811800: 龙羊峡
817300: 天柴旦镇
817400: 冷湖
831400: 米泉
836500: 阿尔泰
844900: 叶球
854900: 碧土
854700: 盐井
853200: 文部
854800: 妥坝
859000: 狮泉河
859600: 扎达
855800: 生达
856000: 泽当镇
859800: 隆格尔
